sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag,r0_sphere_pred,sigma_sphere_pred,I0_sphere_pred,I0_fraction_sphere_pred,disordered_flag_pred,crystalline_flag_pred,dilute_sphere_flag_pred,r0_sphere_pred_var,sigma_sphere_pred_var,I0_sphere_pred_var,I0_fraction_sphere_pred_var,disordered_flag_pred_var,crystalline_flag_pred_var,dilute_sphere_flag_pred_var
R1_20190424_0_1556200015,R1_20190424,119.61655627735108,293.66673387101474,0.0027400042330525004,0.000217878127856648,0.23290901877055722,18.0979075604625,0.15342197007880198,86.40760887775527,0.9990148535926808,False,False,True,22.701747494025888,-0.17786684481205162,22.761274983752763,1.0264656211421763,False,False,True,1.364434183019798,0.15216256707275455,5.427506020570746,0.04532374882407171,0.8706881446353831,0.8706881446353831,0.9728231352378288
R1_20190424_1_1556201300,R1_20190424,119.94390320821147,290.5293099081385,0.0034796979645508068,0.0005922058460783881,0.2830542979869474,18.02234169017619,0.13509760549185135,48.97698994328481,0.9951559144128981,False,False,True,22.07690013307092,-0.20145797432222573,19.72584931466226,1.0071085421640087,False,False,True,1.3970466569019055,0.15579953088255283,5.557233346772069,0.04640706936320745,0.8545737112919138,0.8545737112919138,0.9802094268964168
R1_20190424_2_1556202839,R1_20190424,116.25344825434047,275.13935257950897,0.0021211559311663454,0.0011795464359425467,0.29532993491196236,18.592429963489092,0.12990427682143868,63.48542728839789,0.9976764790211488,False,False,True,21.318703719882244,-0.18335521939508342,16.913421862817238,0.9989806591862072,False,False,True,1.2735743118308869,0.14202981650401283,5.066079647614696,0.04230556734547564,0.896083766006597,0.896083766006597,0.9851388382919194
R1_20190424_3_1556212891,R1_20190424,46.506141992018186,264.55756454675907,0.019844730305283408,0.06736586401549001,0.005378507178741902,20.64116448583831,0.0034472528471509722,3.50750440619423,0.9295704329204807,False,False,True,23.13421966259269,0.05786102307712508,11.282992676428853,0.9721605934951771,False,False,True,0.4475748527992304,0.0499138319800897,1.7803828418073582,0.014867532974984726,0.999999097550322,0.999999097550322,0.9999981153974732
R1_20190424_7_1556218812,R1_20190424,20.873785626944237,285.70043192065344,0.0007409760113909779,0.1653888615109082,0.000354238870525949,32.22201283916972,0.02712338556147842,55.72565850497404,0.9758970920886693,True,False,True,25.174632423210163,0.1749930950189026,19.718770511006355,1.0050538408071557,False,False,True,0.9126576849016911,0.10178016493691396,3.6304096900892526,0.030316645674540992,0.9770469308798848,0.9770469308798848,0.9995411074917305
R1_20190424_8_1556224886,R1_20190424,20.40632602278768,283.9794546962813,0.0023333968369868984,0.168358007988854,0.0008523137964953278,29.547904740554767,0.054324804929514636,44.386108457359185,0.9924627363103521,True,False,True,25.07214817949425,0.17997464551098658,19.596505490075703,1.0058874497558807,False,False,True,0.9216517559218557,0.10278318945205325,3.666186699503767,0.030615410555175686,0.976023396881028,0.976023396881028,0.9994450014331977
R1_20190424_4_1556235422,R1_20190424,32.12820857365432,299.7647073817087,0.0823955802049582,0.025612630724939696,0.0013138806900228593,24.04112734593686,0.17860912653116867,23.36580704621464,0.9885174950114559,False,False,True,25.641923486734058,0.057055636858057326,7.820659046996883,0.8997871049068247,False,False,True,0.34102400874612904,0.038031214147248874,1.3565402301284397,0.011328129057261617,0.9999999975096576,0.9999999975096576,0.9999999999792205
R1_20190424_5_1556245572,R1_20190424,20.099356988037922,285.05346003323587,0.0008499708768448331,0.1839838586296274,0.00028163589442528077,35.78356469946431,0.0038986183831802856,10.456660737036923,0.8912868820159564,True,False,True,25.144153608931564,0.19046364101920937,21.033183736005444,1.01316115576707,False,False,True,0.9898652654792578,0.11039040338180392,3.937529383829998,0.03288132562243492,0.9629737242221853,0.9629737242221853,0.9990696500603535
R1_20190424_6_1556251607,R1_20190424,20.51655994307568,283.94486446988657,0.002847154592783787,0.17468918379262388,0.0004341667045094106,30.864820465208528,0.13956867283247143,38.19816229338877,0.9352397264821481,True,False,True,25.080551141678363,0.1846491384387297,20.168771915362573,1.0091424216597482,False,False,True,0.9450367282901184,0.10539109642973167,3.759208466254523,0.03139221212396313,0.9719222800749445,0.9719222800749445,0.9993289804294415
R1_20190424_9_1556257839,R1_20190424,20.02480496011156,284.8347724347808,0.0015799558868811513,0.1659298641230259,0.0001334521813537357,27.107294360481816,0.1739613644425031,39.59356757516047,0.9464228736808282,True,False,True,25.115596337011084,0.17777812707363372,19.377302758783152,1.0037683186648974,False,False,True,0.9181974403612253,0.10239796198580671,3.652445971855931,0.030500665166370938,0.9763943119416526,0.9763943119416526,0.999459251678901
